,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense
BOIVF,8735771.690996,0.32475,1432300000.0,26900000.0,26900000.0,114200000.0,639000000.0,9420000000.0,1459200000.0,820200000.0,-223500000.0,210500000.0,118100000.0,96035771.690996,268500000.0,13202400000.0,768000000.0,,,,,268500000.0,268500000.0,0.0,268500000.0,566100000.0,411800000.0,198000000.0,609700000.0,-19900000.0,-223500000.0,210500000.0,118100000.0,477000000.0,3782400000.0,4259400000.0,9420000000.0,13679400000.0,13679400000.0,,,
FSNUF,0.0,0.15,2727000000.0,,,1344000000.0,1478000000.0,17241000000.0,2727000000.0,1249000000.0,-416000000.0,534000000.0,118000000.0,1344000000.0,-594000000.0,21156000000.0,1143000000.0,563237277.0,563237277.0,-1.05,-1.05,-594000000.0,-594000000.0,0.0,-594000000.0,-1700000000.0,238000000.0,477000000.0,715000000.0,,-416000000.0,534000000.0,118000000.0,1143000000.0,3915000000.0,5058000000.0,17241000000.0,22299000000.0,22299000000.0,3155000000.0,750000000.0,2405000000.0
RDED.F,-20774000.0,0.221,3406000000.0,-94000000.0,-94000000.0,1781000000.0,717000000.0,3216000000.0,3312000000.0,2595000000.0,-293000000.0,300000000.0,8000000.0,1854226000.0,1781000000.0,6525000000.0,2682000000.0,1902800000.0,1891800000.0,0.936,0.941,1781000000.0,1781000000.0,0.0,1781000000.0,1788000000.0,1788000000.0,507000000.0,2295000000.0,-61000000.0,-293000000.0,300000000.0,8000000.0,2636000000.0,3309000000.0,5945000000.0,3216000000.0,9161000000.0,9161000000.0,3309000000.0,1459000000.0,1850000000.0
IBM.F,-7020000.0,0.135,14745000000.0,-52000000.0,-52000000.0,7514000000.0,4396000000.0,24159000000.0,14693000000.0,10297000000.0,-937000000.0,1607000000.0,670000000.0,7558980000.0,7502000000.0,52486000000.0,,922073828.0,911210319.0,8.14,8.23,7502000000.0,7502000000.0,,7502000000.0,7502000000.0,7514000000.0,1176000000.0,8690000000.0,8000000.0,-937000000.0,1607000000.0,670000000.0,9374000000.0,24926000000.0,34300000000.0,27560000000.0,61860000000.0,61860000000.0,17997000000.0,1237000000.0,16760000000.0
FRE.F,0.0,0.15,2727000000.0,,,1344000000.0,1478000000.0,17241000000.0,2727000000.0,1249000000.0,-416000000.0,534000000.0,118000000.0,1344000000.0,-594000000.0,21156000000.0,1143000000.0,563237277.0,563237277.0,-1.05,-1.05,-594000000.0,-594000000.0,0.0,-594000000.0,-1700000000.0,238000000.0,477000000.0,715000000.0,,-416000000.0,534000000.0,118000000.0,1143000000.0,3915000000.0,5058000000.0,17241000000.0,22299000000.0,22299000000.0,3155000000.0,750000000.0,2405000000.0
LRC.F,0.0,0.259,2040700000.0,,,1148500000.0,370100000.0,4018000000.0,2040700000.0,1670600000.0,-33400000.0,121000000.0,87600000.0,1148500000.0,1148500000.0,6825300000.0,1591600000.0,,,,,1148500000.0,1148500000.0,0.0,1148500000.0,1148500000.0,1148500000.0,401100000.0,1549600000.0,,-33400000.0,121000000.0,87600000.0,1591600000.0,2807300000.0,4398900000.0,4018000000.0,8416900000.0,8416900000.0,2196200000.0,,2196200000.0
RTO.L,-28375000.0,0.227,1282000000.0,-125000000.0,-125000000.0,381000000.0,475000000.0,900000000.0,1157000000.0,682000000.0,-164000000.0,189000000.0,25000000.0,477625000.0,381000000.0,4657000000.0,625000000.0,2527000000.0,2516000000.0,0.1507,0.1514,381000000.0,381000000.0,0.0,381000000.0,381000000.0,381000000.0,112000000.0,493000000.0,-126000000.0,-164000000.0,189000000.0,25000000.0,718000000.0,3757000000.0,4475000000.0,900000000.0,5375000000.0,5375000000.0,,,
EVKIF,-8550000.0,0.15,1791000000.0,-57000000.0,-57000000.0,-465000000.0,1841000000.0,12567000000.0,1734000000.0,-107000000.0,-89000000.0,244000000.0,117000000.0,-416550000.0,-465000000.0,15366000000.0,,466000000.0,466000000.0,-1.0,-1.0,-465000000.0,-465000000.0,0.0,-465000000.0,-452000000.0,-452000000.0,101000000.0,-351000000.0,-63000000.0,-89000000.0,244000000.0,117000000.0,-99000000.0,2799000000.0,2700000000.0,12567000000.0,15267000000.0,15267000000.0,2333000000.0,1836000000.0,497000000.0
HHRU.ME,-347515900.0,0.295,8395121000.0,-1178020000.0,-1178020000.0,3651810000.0,1185745000.0,494759000.0,7217101000.0,6031356000.0,-579398000.0,795361000.0,215963000.0,4482314100.0,3651810000.0,11163197000.0,,51537209.0,50263821.0,70.86,72.65,3651810000.0,3651810000.0,,3651810000.0,3691494000.0,3691494000.0,1544501000.0,5235995000.0,-875158000.0,-579398000.0,795361000.0,215963000.0,6921967000.0,10668438000.0,17590405000.0,494759000.0,18085164000.0,18085164000.0,9191563000.0,2410716000.0,6780847000.0
SAP,-102364000.0,0.326,7816000000.0,-314000000.0,-314000000.0,3776000000.0,1373000000.0,8674000000.0,7502000000.0,6129000000.0,-311000000.0,788000000.0,477000000.0,3987636000.0,6139000000.0,25206000000.0,5787000000.0,1180000000.0,1167000000.0,5.17,5.23,6139000000.0,6139000000.0,,6139000000.0,5963000000.0,3600000000.0,1741000000.0,5341000000.0,-215000000.0,-311000000.0,788000000.0,477000000.0,6002000000.0,16532000000.0,22534000000.0,8674000000.0,31207000000.0,31207000000.0,10192000000.0,8828000000.0,1364000000.0
